,videoid,title,views,like,dislike,age,length,description
102,RenRzEkt2S8,What is the future of artificial intelligence?,2758,46,2,2020-11-17T16:52:56Z,PT1H2M12S,"On November 17, the Center for Technology Innovation hosted a webinar to discuss the future of AI, how it is being deployed, and the policy and legal issues ..."
103,deogQWihV-4,क्या हम मरने वाले हैं? What Is The Technological Singularity | Artificial Intelligence,1131427,118927,2024,2018-11-28T14:18:25Z,PT8M9S,Artificial intelligence (AI) is an area of computer science that emphasizes the creation of intelligent machines that work and react like humans. Some of the ...
104,056v4OxKwlI,A Brief History of Artificial Intelligence,67725,807,29,2017-09-13T23:44:46Z,PT2M51S,"While everyone seems to be talking about artificial intelligence these days, it's good to remember that this is not something new!"
105,-wlzKwU-DGE,Prerequisites for Artificial Intelligence: AI Jobs,15281,240,29,2019-11-12T13:00:54Z,PT3M18S,#ArtificialIntelligence #ArtificialIntelligenceJobs #HowDoesAIwork #ArtificialIntelligenceSkills #ArtificialIntelligenceCareer What is Artificial Intelligence?
106,qOGsz-rUx6E,How Singapore Farms Use Artificial Intelligence,27468,366,5,2020-03-10T13:00:12Z,PT2M41S,"Whether it's irrigation or fertiliser use, smart farming makes these processes automated. Singapore's VertiVegies and Blue Aqua International Group employ ..."
107,CgB5ihzNCIk,Introduction to Cognitive Computing &amp; Artificial Intelligence,6135,65,0,2020-03-25T01:38:29Z,PT8M41S,"In this first video in the series, Dr. Soper introduces the concepts of artificial intelligence (AI) and cognitive computing. Topics discussed include the relationship ..."
108,B-Osn1gMNtw,Elon Musk&#39;s Last Warning About Artificial Intelligence,1831917,24490,1248,2018-10-03T04:13:16Z,PT23M37S,Subscribe for weekly Elon Musk videos.
109,HG2uDgQufho,"Charlie Munger, Bill Gates On Future Of Artificial Intelligence | CNBC",96312,717,37,2016-05-02T17:44:18Z,PT4M3S,"About CNBC: From 'Wall Street' to 'Main Street' to award winning original documentaries and Reality TV series, CNBC has you covered. Experience special ..."
110,_Tn0bRXLZ-w,Artificial Intelligence PROMISES It Won&#39;t Kill Us - Weekly Weird News,148857,5931,111,2020-09-13T16:00:31Z,PT57M22S,Sponsored by Quip - Go to http://getquip.com/WEEKLYWEIRD right now to get your first refill FREE! Sponsored by Manscaped - Go to http://manscaped.com and ...
111,kFOpCaHXjxI,Worst Case Scenarios: Artificial Intelligence,146,1,0,2021-02-11T12:22:03Z,PT1H1M11S,"If things go right, artificial intelligence (AI) promises to inaugurate a new era of human progress and productivity, solve complex problems, and make our lives ..."
112,R9OHn5ZF4Uo,How Machines Learn,5764019,374238,2557,2017-12-18T14:39:33Z,PT8M55S,How do all the algorithms around us learn to do their jobs? **OMG PLUSHIE BOTS!!**: https://store.dftba.com/collections/cgp-grey/products/greybots-plushie Bot ...
113,qgZy7Uqt7ok,Artificial Intelligence at the BMW Group,1791,66,5,2020-10-19T08:51:07Z,PT1M55S,"Artificial intelligence is an integral element in our digital transformation. We already use AI throughout the value chain, creating data-driven added value."
114,60KJz1BVTyU,"Jack Dorsey: Square, Cryptocurrency, and Artificial Intelligence | Lex Fridman Podcast #91",468997,13864,818,2020-04-24T20:47:16Z,PT51M14S,Jack Dorsey is the co-founder and CEO of Twitter and the founder and CEO of Square. Support this podcast by signing up with these sponsors: - MasterClass: ...
115,Yy0emx-0Qck,Neuralink Reveals Shocking Truth About Artificial Intelligence,48117,892,76,2020-09-03T18:15:54Z,PT8M4S,Is Neuralink trying to take over humans by using Artificial Intelligence? SpaceX and Tesla CEO Elon Musk used a rare live event to release several updates ...
116,Ra3fv8gl6NE,Joe Rogan - Elon Musk on Artificial Intelligence,5794524,87421,2605,2018-09-07T05:32:52Z,PT24M57S,Taken from Joe Rogan Experience #1169: https://www.youtube.com/watch?v=ycPr5-27vSI.
117,eey91kzfOZs,CS50 2020 - Artificial Intelligence,48176,1471,10,2020-12-31T18:03:20Z,PT1H12M34S,TABLE OF CONTENTS 00:00:00 - Introduction 00:00:49 - Decision-Making 00:06:44 - Decision Trees 00:11:16 - Minimax 00:20:49 - Depth-Limited Minimax ...
118,whlODvf-SVk,Artificial Intelligence vs Machine Learning - Gary explains,78288,3057,52,2018-01-30T14:00:47Z,PT8M4S,"Read more: andauth.co/AIvsML | The terms artificial intelligence and machine learning are often used interchangeably these days, but there are some important ..."
119,mOfzF4sahgs,Sci-Fi Marathon | Artificial Intelligence | Sunday Night DUST,600885,4902,311,2019-02-18T02:57:45Z,PT1H18M47S,Join us and fellow fans as we watch an hour long showing of films from the DUST Anthology. We'll be dedicating this week to short films that revolve around ...
120,54Bkh80vk-M,Can we trust artificial intelligence to make decisions for us? | Bradley Hayes | TEDxMileHigh,5149,104,1,2019-07-18T21:22:55Z,PT9M15S,"Artificial intelligence is everywhere – it selects the next video on YouTube and your route on Google Maps. But soon, AI will make decisions that significantly ..."
121,4svUKPeDa5A,Joe Rogan Talks Artificial Intelligence with a Yale Professor,1550135,16188,962,2019-03-28T19:32:31Z,PT22M14S,Taken from Joe Rogan Experience #1274 w/Nicholas Christakis: https://www.youtube.com/watch?v=4PnkZx3kwTM.
122,uqRXvtVhl0Q,What is artificial intelligence in Telugu,60614,2004,121,2018-01-19T14:22:54Z,PT8M12S,website : www.timecomputers.in Website: http://telugutechguru.com/ Subscribe Link: https://www.youtube.com/subscription_center?add_user=hafiztime My mic: ...
123,4skz4YrJaDE,How to use Artificial Intelligence photo based styles in Painter Essentials 7,10831,63,1,2019-10-08T12:50:34Z,PT2M13S,In this tutorial Tanya Lux shows you how to access the Artificial Intelligence styles and rapidly create a Van Gogh style painting from a landscape photo.
124,QBFHTbAUWc4,"What is Artificial Intelligence, How Does Artificial Intelligence Work...? | V6 Telugu News",10392,215,5,2019-12-11T01:39:10Z,PT7M31S,Teenmaar News : చంద్రన్న అమ్మిండు హెరిటేజ్...జగనన్న తీస్కుండు రివేంజ్ https://youtu.be/-REkNQXoxBo కామ్రేడ్ నారాయణకు ...
125,bScAMuegX7Y,&quot;Artificial Intelligence and the Future of Work&quot; | Andy Chan | TEDxStLawrenceU,66663,789,68,2019-05-01T21:53:50Z,PT15M25S,"Andy Chan is a Product Manager at Infinia ML, an artificial intelligence company that builds custom algorithms and software for Fortune 500 companies."
126,p4Cd-xKpJ9A,ARTIFICIAL INTELLIGENCE DRONE! it won&#39;t stop following me,1380667,59737,1107,2020-10-13T21:23:37Z,PT9M26S,Music - https://youtube.com/dyalla intro music - https://soundcloud.com/mickman/tracks NOT A SPONSORED LINK - https://www.skydio.com/
127,Fkn8iB7m5sw,"Artificial Intelligence | Seedhi Baat, No Bakwaas [UPSC CSE/IAS 2020/2021] Madhukar Kotawe",25063,1960,30,2020-05-30T09:10:04Z,PT30M32S,"Unacademy Subscription Benefits: 1. Learn from your favorite teacher 2. Dedicated DOUBT sessions 3. One Subscription, Unlimited Access 4. Real-time ..."
128,xucm6_BQPJU,Artificial Intelligence (AI) vs Machine Learning vs Deep Learning vs Data Science,23422,517,16,2020-06-22T13:00:10Z,PT3M45S,Artificial intelligence is a field where set of techniques are used to make computers as smart as humans. There are certain tasks where human outperform ...
129,VYA17BrH9rU,What is the difference between artificial intelligence and robotics?,12734,349,4,2019-09-10T14:08:50Z,PT5M35S,"In this video, I explain the difference (and overlap) between AI and robotics. If you would like more information on this topic, please feel free to visit my website ..."
130,GhTREKMYp34,Learn Machine Learning and Artificial Intelligence Course Full Online | ML and AI Course,36196,1617,28,2020-06-01T05:32:42Z,PT11H15M39S,"If you've enjoyed this Machine Learning and artificial intelligence full course video, Like us and Subscribe to our channel for more similar videos and free ..."
131,dnb0tnBUfz0,NWYR - Artificial Intelligence,1389442,13626,225,2019-04-29T10:00:14Z,PT4M48S,#NWYR #WandW #ArtificialIntelligence.
132,WXuK6gekU1Y,AlphaGo - The Movie | Full Documentary,21464281,135641,7443,2020-03-13T14:04:51Z,PT1H30M28S,"... challenge for artificial intelligence. On March 9, 2016, the worlds of Go and artificial intelligence collided in South Korea for an extraordinary best-of-five-game ..."
133,XCI5j_oEWmQ,The Future of AI | How will Artificial Intelligence Change the World in 2020? | Edureka,32054,492,48,2020-01-10T04:30:00Z,PT16M51S,----------------------------------------------------------- Post Graduate Program in AI and Machine Learning with Electronics & ICT Academy NIT Warangal (9 Months ...
134,Eg4vYqPoKt4,How Does Artificial Intelligence Work?,4003,55,7,2020-03-09T12:36:03Z,PT3M5S,"While there are several fields related to AI that can provide different solutions, it's important for your business to be able to distinguish the value of different ..."
135,5-CiXxVDVf4,Artificial Intelligence: Is India Ready?,24922,1214,27,2019-06-03T12:00:01Z,PT10M29S,"Artificial intelligence has advanced immensely since the days of my research in this field. Today, it is poised to replace most of the jobs the youth are aspiring to ..."
136,vXOxvBUAUx4,The Chinese Plan for the A.I. Revolution | Futuristic China | ENDEVR  Documentary,61535,1018,87,2020-10-25T13:00:11Z,PT23M46S,"The Chinese Plan for the A.I. Revolution | Futuristic China | Business Documentary from 2018 Hear from the leaders of Baidu, China's equivalent to Google."
137,KyzxKYZT098,Two Artificial Intelligence Stocks w/ HUGE Growth Potential!! 5 Star Analysts Say &quot;Buy!&quot;,20251,1370,16,2021-02-24T17:00:45Z,PT9M1S,"Taking a look at two AI companies with buy ratings from 5 star analysts, and great future growth potential! CRNC, REKR Check out TipRanks, one of my favorite ..."
138,vavXvu_SMeM,Inteligência Artificial jogando Flappy Bird!!,1431288,135611,1214,2019-02-18T16:59:19Z,PT8M18S,"Cursos que verifiquei e recomendo: ✓ - Desenvolvimento de jogos Danki Code - https://hotm.art/UniversoProgramado2 Esse curso foi uma surpresa para mim, ..."
139,11nzrNkn9D8,Artificial Intelligence - Introduction to Expert System,29010,294,24,2018-04-20T06:13:05Z,PT4M58S,Artificial Intelligence - Introduction to Expert System Watch more Videos at https://www.tutorialspoint.com/videotutorials/index.htm Lecture By: Mr. Arnab ...
140,yw8sBFtnlVQ,My First Artificial Intelligence Program I Ever Coded,62254,2106,61,2020-08-31T13:00:29Z,PT14M49S,Let's take a look at the very first artificial intelligence program I ever coded from back in 2017 when I was a college student. It was my very first program in my ...
141,1LyacmzB1Og,The three big ethical concerns with artificial intelligence,25308,235,7,2019-04-09T12:30:00Z,PT2M51S,"Artificial intelligence provides a range of new opportunities in day-to-day life, but what are the downfalls? Frank Rudzicz is an artificial intelligence researcher at ..."
142,eiG-DwAOX6E,Should We Be Afraid of Artificial Intelligence?,92505,4340,235,2020-07-21T16:00:06Z,PT8M55S,"Technology is advancing at an exponential rate. 6000 years ago, writing was invented. It took 5500 years to get to the printing press. 400 years later, the first ..."
143,bXCYBsG6ork,Historical Figures Recreated From Paintings Using Artificial Intelligence,1404245,61442,992,2020-12-16T18:00:06Z,PT10M16S,A digital artist is teaching machines how to interpret paintings as real life people and results are amazing. Nathan Shipley is a San Francisco based artist who ...
144,Aebkfuqj1Og,"Production System in Artificial Intelligence | Characteristics, Advantages, Steps to Solve",11321,174,17,2020-05-22T14:15:00Z,PT8M9S,"Production System in Artificial Intelligence | Characteristics, Advantages, Steps to Solve Artificial Intelligence Video Lectures in Hindi."
145,uqeqnE7CLr8,Artificial Intelligence: An Inhuman Future? | Full Panel Discussion | Oxford Union,30541,482,29,2019-02-18T19:30:01Z,PT57M57S,"In this dynamic new technological age, Artificial Intelligence and Big Data are impacting our lives in unprecedented ways. Siri can anticipate our commands, ..."
146,cPZvDg6Tw5Q,Top 10 Applications of Artificial Intelligence | Artificial Intelligence Applications in 2020,43569,641,35,2020-04-03T11:30:12Z,PT3M33S,AI is one of the most talked-about and sought after topics in today's technological world. A lot of Industries have already started implementing this technology to ...
147,R69JYEfCSeI,Artificial Intelligence Composed This Symphony!?,861540,52254,372,2020-09-06T13:50:38Z,PT13M28S,Practice Merch!: https://www.twosetapparel.com Follow TwoSet Apparel: https://www.instagram.com/twosetapparel/ Submit your music memes: ...
148,Nnf8P5A_saE,Top 10 Terrifying Developments In Artificial Intelligence,139252,2671,112,2019-09-30T18:00:00Z,PT10M8S,"The singularity is nigh. For this list, we're looking at programs and experiments that show how alien, dangerous, or just downright creepy AI can be. While AI is ..."
149,zAcnth5wNXQ,"&quot;Bias, Artificial Intelligence, and the Number 8&quot; | Eric Satterly | TEDxBellarmineU",2248,57,2,2021-03-03T21:31:14Z,PT8M38S,"Growing up during the golden age of computing, Eric has consistently seen computers become more capable and marveled at the power they possess to impact ..."
150,K_Mh21P9OwA,Top 10 Artificial Intelligence Technologies in 2020 | Artificial Intelligence Trends | Edureka,95479,1481,127,2020-01-06T14:14:25Z,PT10M22S,----------------------------------------------------------- Post Graduate Program in AI and Machine Learning with Electronics & ICT Academy NIT Warangal (9 Months ...
151,WSbgixdC9g8,AI vs Machine Learning vs Deep Learning | Machine Learning Training with Python | Edureka,1035049,18396,840,2018-03-29T15:27:24Z,PT14M50S,1. AI vs Machine Learning vs Deep Learning 2. What is Artificial Intelligence? 3. Example of Artificial Intelligence 4. What is Machine Learning? 5. Example of ...
152,-JlxuQ7tPgQ,The Artificial Intelligence That Deleted A Century,1406834,92250,2031,2018-12-06T16:00:00Z,PT6M16S,"In the last week of December, 2028, humanity forgot about more than a century of pop culture. You've probably never thought about it, and never found it strange ..."
153,vys6lX9uuPs,ARTIFICIAL INTELLIGENCE SUMMIT 2020 - VIRTUAL EXPO &amp; CONFERENCE,7285,201,1,2020-11-10T06:29:54Z,PT3H3M27S,Artificial Intelligence Summit 2020 (Virtual Expo and Conference) is an innovation exhibition in response to the challenges of the information and technology ...
154,JyYPuYM_sW8,Is the US losing its lead in artificial intelligence to China?,15511,160,6,2019-04-02T00:00:00Z,PT3M7S,"China's goal is to foster a US$1 trillion artificial intelligence industry by 2030, with tech innovations already changing how people live, work and play in China."
155,-qnMLjxJZm0,Artificial Intelligence: A History,12014,343,19,2020-04-09T13:00:00Z,PT14M16S,"Artificial intelligence has been a topic of growing prominence in the media and mainstream culture since 2015, as well as in the investment world, with start-ups ..."
156,JRHAM1nAuD4,Artificial Intelligence | Research and Which Majors to Pick,109948,3070,33,2017-08-11T09:51:43Z,PT12M6S,"This video covers artificial intelligence, research being done in the field, what major to pick to get started, and a more detailed description on how machine ..."
157,JzgdC5QH5YM,Ketika Jokowi Bicara Soal Artificial Intelligence dengan Space War,2355,20,2,2021-03-08T09:21:56Z,PT1M52S,"JAKARTA, KOMPAS.TV Presiden Jokowi menyinggung soal Artificial Intelligence yang sudah seharusnya juga dikuasai Indonesia. Menurut Presiden ..."
158,qmPX8-HK1os,Artificial Intelligence is scary. Elon Musk explains why,198802,1655,54,2015-09-10T23:07:22Z,PT1M41S,"Elon Musk is worried about AI, but not in the 'evil robots take over the world' kind of way. What happens when artificial intelligence becomes superintelligence?"
159,0_nAHeLXcXc,Top 10 Artificial Intelligence Books for Beginners | Great Learning,12705,354,8,2020-01-10T15:10:23Z,PT1M22S,"AI is being foreseen as the future of technological and economic development. As a result, the career opportunities for AI engineers and programmers are bound ..."
160,YSsYXAn_L00,Artificial Intelligence Colloquium: Explainable AI,11839,196,8,2019-03-26T14:05:05Z,PT18M18S,"Speaker: Dr. David Aha, Acting Director, Navy Center for Applied Research in AI, U.S. Naval Research Laboratory Dramatic success in machine learning (ML) ..."
161,56y41zUhIbg,&#39;Can&#39;t read a book&#39;: Bill Gates on limitations of artificial intelligence,8105,199,6,2019-11-18T13:01:54Z,PT6M22S,"Highlighting the inaugural edition of Mint Visionaries, billionaire philanthropist Bill Gates spoke about the increasing deployment of artificial intelligence in ..."
162,R1_DDk-zlcU,Is Artificial Intelligence Dangerous? | 5 Risks You Should Know About A.I.,1026,50,0,2020-11-30T12:00:05Z,PT4M1S,Is Artificial Intelligence Dangerous? | 5 Risks You Should Know About A.I. This simple video talks about whether A.I. (Artificial Intelligence) is dangerous or not.
163,N5Ts1WV_y00,Artificial Intelligence Will End Gaming As We Know It,147,19,0,2021-02-12T14:00:07Z,PT21M8S,"Artificial Intelligence Will End Gaming As We Know It Video games and artificial intelligence go hand in hand, and over decades now many technological ..."
164,ZkTvw3usMw4,Artificial Intelligence Meets Mental Health Therapy | Andy Blackwell | TEDxNatick,41431,1255,39,2020-03-11T17:00:14Z,PT18M46S,Andy and his team are using AI in the delivery of mental health care for tens of thousands of patients with compelling results. He shares their approach as well as ...
165,Ek7KIIh6f0c,Joe Rogan | How Long Until We Have Real Artificial Intelligence w/Nick Bostrom,223733,2307,138,2019-09-12T01:33:25Z,PT20M7S,Taken from JRE #1350 w/Nick Bostrom: https://youtu.be/5c4cv7rVlE8.
166,EFHyzuqjaok,A Trump Speech Written By Artificial Intelligence | The New Yorker,639971,16661,2142,2017-07-27T16:49:35Z,PT4M24S,"We fed 270000 words spoken by Donald Trump into a computer program that studies language patterns. This system analyzed his word choice and grammar, ..."
167,8cbxii7obvc,&#39;Can&#39;t read a book&#39;: Bill Gates on limitations of artificial intelligence,6808,183,4,2019-11-18T13:01:51Z,PT6M22S,"Highlighting the inaugural edition of Mint Visionaries, billionaire philanthropist Bill Gates spoke about the increasing deployment of artificial intelligence in ..."
168,rHKwIYsPXLg,Consciousness in Artificial Intelligence | John Searle | Talks at Google,277598,3882,284,2015-12-04T01:55:44Z,PT1H10M38S,"John Searle is the Slusser Professor of Philosophy at the University of California, Berkeley. His Talk at Google is focused on the philosophy of mind and the ..."
169,XbLriBntePk,Future of Electronics|| Innovation &amp; Technology ||Artificial Intelligence,2267,36,1,2020-06-11T16:12:45Z,PT6M27S,Future Technology . All This video belongs to the website owner and the product owner. Its not a Promotional Video we are doing here. This video contains the ...
170,W7N6LPp0SmY,Artificial Intelligence Tutorial | Artificial Intelligence Course | Intellipaat,497730,15197,474,2019-06-19T14:38:16Z,PT5H54M15S,This artificial intelligence training video helps you to learn following topics: 00:00 - artificial intelligence tutorial 00:57 - what makes human intelligent? 01:15 ...
171,BkedAnQfJ_U,Introduction to Intelligent Agents and their types with Example in Artificial Intelligence,128902,3094,82,2019-05-02T12:20:25Z,PT11M10S,Agents #Artificial Intelligence ▻ Link for Artificial Intelligence Playlist: https://www.youtube.com/playlist?list=PLxCzCOWd7aiHGhOHV-nwb0HR5US5GFKFI ...
172,P6vwNM_ecFk,What Are The Negative Impacts Of Artificial Intelligence (AI)?,2229,76,2,2021-01-08T12:04:55Z,PT9M41S,"We look at the negative impacts of AI - including job automation, biased decision-making, autonomous weapons, and many others. If you would like more ..."
173,8CABHqGwJqE,"Will Artificial Intelligence Take Away Jobs, Types of Artificial Intelligence, Founder of AI",4122,529,32,2020-12-09T06:36:00Z,PT18M9S,"Will Artificial Intelligence Take Away Jobs, Types of Artificial Intelligence, Founder of AI ✓✓Get Internet Business Blueprint- ..."
174,97iYdJE9mQ4,Neuroscience and Artificial Intelligence Need Each Other | Marvin Chun | TEDxKFAS,18410,574,8,2018-10-29T15:12:46Z,PT22M43S,Big data and fast computing have advanced both neuroscience and artificial intelligence. The use of machine learning to compute vast amounts of brain data ...
175,5J5bDQHQR1g,Artificial Intelligence,2925767,110459,1336,2016-12-22T16:12:59Z,PT11M47S,Intelligent machines are no longer science fiction and experts seem divided as to whether artificial intelligence should be feared or welcomed. In this video I ...
176,t4K6lney7Zw,1. Artificial Intelligence and Machine Learning,118909,3242,32,2020-06-25T17:31:35Z,PT1H14M24S,"This lecture provided an overview on artificial intelligence and took a deep dive on machine learning, including supervised learning, unsupervised learning, and ..."
177,8FHBh_OmdsM,"Artificial Intelligence, the History and Future - with Chris Bishop",468115,5398,322,2017-05-17T14:00:00Z,PT1H1M22S,The last five years have witnessed a dramatic resurgence of excitement in the goal of creating intelligent machines. Technology companies are now investing ...
178,TW39Qz2srIM,How Dangerous is Artificial Intelligence?,111636,4229,132,2018-08-24T14:00:06Z,PT6M19S,New video every Friday! Follow Second Thought on Social Media! Twitter: https://twitter.com/_SecondThought Facebook: ...
179,auJUEWp7Ng4,Artificial Intelligence for License Plate Recognition,26918,1879,23,2019-12-13T12:30:00Z,PT10M28S,Join Our Community: https://patreon.com/TechTrackShow AI & Vision Solutions https://aivision.asia/ +940777712410 Follow Malinda: ...
180,4MKAf6YX_7M,a Eurovision song created by Artificial Intelligence: Blue Jeans and Bloody Tears,6191135,256133,5729,2019-05-13T09:27:41Z,PT3M39S,"As Europe (together with Australia and Israel) are glued to their TV sets watching the 64th Eurovision song competition, we asked ourselves What makes a ..."
181,Ntu8nNBL28o,Minimax Algorithm in Game Playing | Artificial Intelligence,190465,3223,131,2019-04-20T15:00:56Z,PT12M29S,------------------------------------------------------------------------------------------------- Our Social Links: ▻ Subscribe to our YouTube channel: ...
182,kW9F5_swEHU,Artificial Intelligence for Fun - Creative AI Applications,658,35,0,2020-12-07T20:45:01Z,PT5M10S,"There're lots of AI applications for business, but what about artificial intelligence for fun? Making artificial intelligence for fun could make it interesting to inspire ..."
183,gAo4vKRZK-U,Best Artificial Intelligence Stocks for 2021 in INDIA 🚀 BEST AI Stocks to buy now 💰 मालामाल कर देंगे,19951,437,24,2020-10-29T04:00:03Z,PT10M46S,"Artificial Intelligence पर Invest करो, आने वाले 5 साल में हो जाओगे मालामाल Free Demat Account खोलें Upstox में ..."
184,bvf_n6Cnp8s,2084: Artificial Intelligence and the Future of Humanity | John C. Lennox,34315,995,21,2020-08-31T17:09:10Z,PT23M43S,Where did we come from? Where we are going? The answers to these questions inform both our understanding of who we are and what we live for. Through the ...
185,1tdIBdZ0KSg,Artificial Intelligence: The Global Race for the New Frontier - Narrated by David Strathairn,29686,503,18,2020-03-20T19:55:20Z,PT26M47S,"A.I. is transforming economies and societies around the world. Great Decisions assesses the possibilities and dangers of this technology, explores the mounting ..."
186,9TRv0cXUVQw,Artificial Intelligence,400271,8232,196,2015-08-17T14:35:19Z,PT7M31S,Should we be scared of artificial intelligence and all it will bring us? Not so long as we remember to make sure to build artificial emotional intelligence into the ...
187,6M5VXKLf4D4,Deep Learning In 5 Minutes | What Is Deep Learning? | Deep Learning Explained Simply | Simplilearn,542452,9577,205,2019-06-03T14:30:00Z,PT5M52S,We learn about where Deep Learning is implemented and move on to how it is different from machine learning and artificial intelligence. We will also look at ...
188,-GECSptc9vQ,Effect of Artificial Intelligence on Education | Adrien Dubois | TEDxCanadianIntlSchool,17981,225,23,2018-10-04T20:41:32Z,PT7M22S,Will AI make teachers obsolete? Topic for TEDx: Implications of Artificial Intelligence in Education This talk was given at a TEDx event using the TED conference ...
189,fK_KJWwhgp8,Artificial Intelligence Curriculum Class 9 Facilitator Guide,30903,350,23,2019-09-09T11:24:43Z,PT1H6M59S,
190,IJKjMIU55pE,How smart is today&#39;s artificial intelligence?,1049301,23019,630,2017-12-19T14:00:00Z,PT7M53S,"Current AI is impressive, but it's not intelligent. Subscribe to our channel! http://goo.gl/0bsAjO Sources: ..."
191,nKW8Ndu7Mjw,The 7 steps of machine learning,1975956,32906,757,2017-08-31T19:19:11Z,PT10M36S,"How can we tell if a drink is beer or wine? Machine learning, of course! In this episode of Cloud AI Adventures, Yufeng walks through the 7 steps involved in ..."
192,ZdHhs-I9FVo,Artificial intelligence &amp; the future of education systems | Bernhard Schindlholzer | TEDxFHKufstein,164462,1760,104,2016-08-04T17:53:50Z,PT14M52S,"Dr. Bernhard Schindlholzer is a technology manager working on Machine Learning and E-commerce. In this talk he gave at TEDx FHKufstein, Bernhard ..."
193,e0ztRdx_3EQ,How Artificial Intelligence Beats Minecraft,171815,10135,254,2020-11-12T19:15:01Z,PT6M31S,"How would an advanced AI play hardcore Minecraft? In this video, we investigate this question by applying deep learning concepts to Minecraft. Watch out Elon ..."
194,u_TE42-uWD0,AO* algorithm in AI (artificial intelligence) in HINDI | AO* algorithm with example,135982,1984,60,2019-04-09T07:54:39Z,PT13M24S,Link for A* algorithm in Artificial intelligence: https://www.youtube.com/watch?v=tvAh0JZF2YE&t=19s ▻ Link for Artificial Intelligence Playlist: ...
195,3wLqsRLvV-c,The Turing test: Can a computer pass for a human? - Alex Gendler,1055976,20873,218,2016-04-25T15:17:17Z,PT4M43S,"What is consciousness? Can an artificial machine really think? For many, these have been vital considerations for the future of artificial intelligence. But British ..."
196,N4s7EzMeat8,ARTIFICIAL INTELLIGENCE (An Existential Odyssey) EXPLORED,123925,6524,65,2020-05-31T13:24:44Z,PT16M10S,"Artificial Intelligence is a 2001 existential sci-fi drama directed by Steven Spielberg, based on a story developed by Stanley Kubrick. Patreon ..."
197,GQBjjWjhT4c,CSE - Artificial Intelligence &amp; Machine Learning -Best Colleges | Top Jobs | Salary Trends,66850,2393,76,2020-03-24T14:20:35Z,PT11M13S,ArtificalIntelligence #MachineLearning #collegesuggest #KnowYourCourse Welcome to College Suggest! Let's take a look at one of the most innovative and ...
198,i1ja9VlZZmM,Top 10 Artificial Intelligence Movies | Movies on Artificial Intelligence | Artificial Intelligence,29828,491,55,2020-01-13T08:46:45Z,PT9M7S,"Artificial Intelligence may be more timely than ever, but it's been around for a while in the cinema. The biggest endorsers of Artificial Intelligence have been ..."
199,fxiHM11w-rk,10 differences between artificial intelligence and human intelligence,227742,9984,191,2019-08-07T16:21:21Z,PT6M47S,In this video I will explain what the main differences are between the current approaches to artificial intelligence and human intelligence. For this I first explain ...
200,9QErWiClGjM,What’s The Difference Between Artificial Intelligence And Machine Learning,29481,402,24,2019-04-18T08:09:22Z,PT7M1S,In this video I explain the difference between AI and ML and how both can be used in business to solve real world problems. If you would like more information ...
201,8QEK7B9GUhM,Artificial Intelligence: The Robots Are Now Hiring | Moving Upstream,206655,2289,161,2018-09-20T16:24:19Z,PT10M1S,Some Fortune 500 companies are using tools that deploy artificial intelligence to weed out job applicants. But is this practice fair? In this episode of Moving ...
202,jNP0tcm1GnU,In Depth - Artificial Intelligence,61571,1947,19,2019-06-28T14:12:14Z,PT22M37S,"At the two day Group of 20 summit in Osaka in Japan, Prime Minister Narendra Modi underscored the significance of Digital Economy & Artificial Intelligence He ..."
203,d2DCUYuJYAU,5 Career Paths in Artificial intelligence,17126,656,6,2020-07-05T16:42:42Z,PT6M4S,In this video I am going to share 5 career paths in Artificial intelligence (AI). So what really is AI? AI is the science that empowers computers to mimic human ...
204,j6EB9HO6acE,Artificial Intelligence In Healthcare | Examples Of AI In Healthcare | Edureka,34042,642,15,2019-06-20T14:28:17Z,PT29M12S,1. What Is Artificial Intelligence? 2. AI in healthcare 3. Use cases 4. Introduction to Machine Learning 5. Introduction to Deep Learning 6. Hands-On ...
205,AXgjEW2nA9I,The 10 Best Examples Of Artificial Intelligence (AI) And Machine Learning In Practice,15966,199,19,2019-12-09T12:02:19Z,PT8M56S,"A rundown, based on my book AI in Practice, on the best examples of how trailblazing companies are using AI in practice. If you would like more information on ..."
206,WP09zC16SXw,Artificial Intelligence - Shrine,314898,4047,74,2016-05-09T14:35:39Z,PT5M39S,Liquid masterpiece from Artificial Intelligence... ○ Support: http://bit.ly/ShrineEP ○ Available on UKF Drum & Bass 2016: https://ukf.lnk.to/dnb2016Yo Artificial ...
207,hbTXsHZBWdI,HAZIRLANIN! Yapay zeka insan zekasını geçmek üzere...,1501459,68884,1050,2019-06-02T06:44:05Z,PT15M21S,"İnsan zekası, yapay zekanın kendi zekasını ne zaman geçeceği konusunda biraz kararsız. Bu konuda yapılan kehanetleri bir tabloya dönüştürdüğümüzde ilginç ..."
208,HfwSVsIQe4E,What is Artificial Intelligence (AI) || Introduction to AI || Lecture in Urdu/Hindi,1008,58,0,2020-06-01T13:12:00Z,PT3M11S,What is Artificial Intelligence? What is AI? What is the introduction of Artificial intelligence?
209,J_YLjCTOFWE,Career Roadmap To Artificial Intelligence | What Is Artificial Intelligence | Great Learning,8418,304,13,2020-06-04T13:28:15Z,PT5M51S,"This Roadmap To Artificial Intelligence Video by Great Learning will introduce you to what Artificial Intelligence is, and discuss pointers like Salary, Career Path ..."
